Airports,Scheduled Flights
1878,YUM
9284,XNA
208,WYS
664,WRG
4868,VPS
935,VLD
155,UST
6964,TYS
2299,TYR
976,TXK
815,TWF
2758,TVC
15116,TUS
13970,TUL
2836,TTN
1929,TRI
63914,TPA
961,TOL
3193,TLH
5610,SYR
620,SUX
959,SUN
938,STX
4348,STT
46962,STL
82,STC
3370,SRQ
1233,SPS
1586,SPI
37195,SNA
37212,SMF
97193,SLC
24653,SJU
1628,SJT
38204,SJC
1342,SIT
6100,SHV
1778,SGU
6237,SGF
147966,SFO
110907,SEA
10199,SDF
915,SCE
3132,SBP
4452,SBN
6017,SBA
7539,SAV
29784,SAT
70207,SAN
1502,SAF
27349,RSW
2054,RST
7446,ROC
2283,ROA
13010,RNO
690,RKS
15351,RIC
953,RHI
31897,RDU
2153,RDM
727,RDD
3269,RAP
4680,PWM
11059,PVD
264,PUB
8988,PSP
751,PSE
2435,PSC
107,PPG
6534,PNS
752,PLN
24121,PIT
654,PIH
4667,PIA
146812,PHX
66017,PHL
1264,PHF
47081,PDX
22574,PBI
282,PBG
275,OTH
9375,ORF
285906,ORD
17979,ONT
663,OME
16752,OMA
16147,OKC
20638,OGG
42313,OAK
1136,OAJ
4830,MYR
205,MVY
999,MTJ
38802,MSY
112128,MSP
2077,MSO
9129,MSN
2974,MRY
305,MQT
1850,MOT
5017,MOB
156,MMH
2962,MLU
3777,MLI
1332,MLB
29833,MKE
69324,MIA
6292,MHT
1634,MHK
3171,MGM
2471,MFR
3407,MFE
14769,MEM
908,MEI
80884,MDW
3286,MDT
110980,MCO
38655,MCI
1720,MBS
7522,MAF
587,LWS
1646,LSE
2202,LRD
2637,LNK
10417,LIT
10545,LIH
8778,LGB
99581,LGA
5147,LFT
5982,LEX
1859,LCH
1280,LBE
4636,LBB
194696,LAX
1330,LAW
133198,LAS
582,LAR
1848,LAN
2320,KTN
11113,KOA
4096,JNU
814,JMS
666,JLN
93809,JFK
18040,JAX
7098,JAN
3510,JAC
5723,ITO
35,ITH
4392,ISP
2542,ISN
574,INL
25557,IND
621,IMT
1861,ILM
98,ILG
2247,IDA
8097,ICT
146683,IAH
322,IAG
34282,IAD
83,HYA
4522,HSV
3084,HRL
7459,HPN
52041,HOU
571,HOB
43157,HNL
1434,HLN
897,HIB
703,HDN
334,GUM
495,GUC
927,GTR
1966,GTF
6542,GSP
6734,GSO
10840,GRR
4033,GRK
634,GRI
4883,GRB
3604,GPT
2682,GNV
3179,GJT
643,GGG
718,GFK
9504,GEG
995,GCC
5262,FWA
1970,FSM
5329,FSD
4746,FNT
73599,FLL
1660,FLG
2024,FCA
7017,FAT
5693,FAR
2183,FAI
1973,EYW
101830,EWR
575,EWN
3833,EVV
3631,EUG
746,ERI
11976,ELP
2052,ELM
531,EKO
1243,EGE
4173,ECP
526,DVL
108398,DTW
8388,DSM
2068,DRO
1721,DLH
77,DLG
937,DIK
1260,DHN
239582,DFW
196010,DEN
73799,DCA
928,DBQ
8672,DAY
59703,DAL
1494,DAB
1420,CWA
20027,CVG
1067,CSG
2386,CRW
4881,CRP
1772,CPR
1308,COU
6882,COS
665,COD
206,CNY
667,CMX
2115,CMI
24183,CMH
100322,CLT
2309,CLL
34580,CLE
640,CLD
614,CIU
6833,CID
11819,CHS
2204,CHO
4204,CHA
190,CEC
662,CDV
6098,CAK
5148,CAE
3605,BZN
86085,BWI
18890,BUR
16829,BUF
2976,BTV
7168,BTR
668,BTM
855,BRW
2364,BRO
590,BRD
1343,BQN
879,BQK
973,BPT
107851,BOS
11656,BOI
47568,BNA
2731,BMI
711,BLI
3455,BIS
2870,BIL
12514,BHM
368,BGR
2636,BFL
896,BET
18797,BDL
1846,AZO
1359,AVP
2747,AVL
42078,AUS
2849,ATW
346904,ATL
3561,ASE
573,APN
16001,ANC
4215,AMA
618,ALO
7460,ALB
63,AKN
2363,AGS
3146,AEX
460,ADQ
96,ADK
3571,ACY
1319,ACV
1611,ACT
492,ACK
876,ABY
671,ABR
19188,ABQ
2327,ABI
2276,ABE
